laptop_ID,Company,Product
1,Apple,MacBook Pro
2,Apple,Macbook Air
3,HP,250 G6
4,Apple,MacBook Pro
5,Apple,MacBook Pro
6,Acer,Aspire 3
7,Apple,MacBook Pro
8,Apple,Macbook Air
9,Asus,ZenBook UX430UN
10,Acer,Swift 3
11,HP,250 G6
12,HP,250 G6
13,Apple,MacBook Pro
14,Dell,Inspiron 3567
15,Apple,"MacBook 12"""
16,Apple,MacBook Pro
17,Dell,Inspiron 3567
18,Apple,MacBook Pro
19,Lenovo,IdeaPad 320-15IKB
20,Dell,XPS 13
21,Asus,Vivobook E200HA
22,Lenovo,Legion Y520-15IKBN
23,HP,255 G6
24,Dell,Inspiron 5379
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)
26,Dell,Inspiron 3567
27,Apple,MacBook Air
28,Dell,Inspiron 5570
29,Dell,Latitude 5590
30,HP,ProBook 470
31,Chuwi,"LapBook 15.6"""
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10)
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon
34,Dell,XPS 13
35,Apple,MacBook Air
36,Lenovo,IdeaPad 120S-14IAP
37,Acer,Aspire 3
38,Dell,Inspiron 5770
39,HP,250 G6
40,HP,ProBook 450
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)
42,Dell,Inspiron 7577
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce
44,Acer,Aspire A515-51G
45,Dell,Inspiron 7773
46,Apple,MacBook Pro
47,Lenovo,IdeaPad 320-15ISK
48,Asus,Rog Strix
49,Dell,Inspiron 3567
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce
51,Lenovo,Yoga Book
52,Acer,Aspire A515-51G
53,HP,255 G6
54,HP,ProBook 430
55,Acer,Aspire 3
56,Dell,Inspiron 3576
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)
58,Asus,VivoBook Max
59,MSI,GS73VR 7RG
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)
61,Dell,Inspiron 5770
62,Dell,Vostro 5471
63,Lenovo,IdeaPad 520S-14IKB
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)
66,HP,250 G6
67,Asus,ZenBook Pro
68,HP,250 G6
69,HP,Stream 14-AX040wm
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce
72,Microsoft,Surface Laptop
73,Dell,Inspiron 5370
74,Dell,Inspiron 5570
75,MSI,GL72M 7RDX
76,Acer,Aspire E5-475
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce
78,Lenovo,IdeaPad 320-15IKBN
79,Dell,Inspiron 5570
80,Acer,Aspire A515-51G-32MX
81,HP,ProBook 470
82,Dell,Latitude 5590
83,Apple,"MacBook 12"""
84,HP,ProBook 440
85,Lenovo,IdeaPad 320-15AST
86,Acer,Aspire 3
87,Dell,Inspiron 7577
88,HP,Pavilion 15-CK000nv
89,HP,250 G6
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB
91,Dell,XPS 13
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon
93,Acer,Aspire 5
94,HP,Probook 430
95,Dell,Inspiron 7577
96,Asus,Zenbook UX430UA
97,Acer,Spin 5
98,Dell,Inspiron 3567
99,Dell,Inspiron 3567
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce
102,HP,Omen 15-ce007nv
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon
105,Dell,Inspiron 3576
106,HP,Envy 13-ad009n
107,Microsoft,Surface Laptop
108,HP,Pavilion 14-BK001nv
109,Lenovo,Ideapad 310-15ISK
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce
111,MSI,GP62M 7REX
112,Lenovo,Thinkpad T470
113,Asus,VivoBook S15
114,Dell,XPS 13
115,Lenovo,ThinkPad Yoga
116,HP,Probook 440
117,Dell,XPS 13
118,HP,Spectre x360
119,HP,Probook 440
120,Dell,Inspiron 7570
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce
122,Asus,VivoBook S15
123,Acer,Spin 3
124,MSI,GS63VR 7RG
125,Lenovo,IdeaPad 320-15IKBN
126,HP,Probook 470
127,Acer,Aspire 3
128,HP,250 G6
129,HP,Probook 440
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10
131,Dell,Inspiron 5770
132,HP,ProBook 470
133,Dell,Inspiron 5567
134,Dell,Inspiron 3567
135,Acer,Swift 3
136,Acer,Aspire A515-51G-37JS
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10)
138,HP,Probook 440
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB
141,Lenovo,IdeaPad 320-15IKBN
142,HP,Envy 13-AD007nv
143,Acer,Aspire 5
144,Lenovo,ThinkPad E480
145,Lenovo,Legion Y520-15IKBN
146,Toshiba,Satellite Pro
147,HP,255 G6
148,Asus,ZenBook UX430UA
149,HP,EliteBook Folio
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10)
151,MSI,GE72MVR 7RG
152,Acer,Aspire A315-51
153,Dell,Inspiron 5577
154,Dell,Inspiron 7567
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10)
156,MSI,GE73VR 7RE
157,HP,EliteBook 840
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon
159,Lenovo,Yoga 520-14IKB
160,Asus,ZenBook Flip
161,Dell,Inspiron 5579
163,Toshiba,Satellite Pro
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon
165,Acer,Aspire A517-51G
166,Dell,Inspiron 3576
167,Lenovo,Legion Y520-15IKBN
168,Acer,Aspire A315-31
169,MSI,GE63VR 7RE
170,Acer,Aspire 3
171,Dell,Inspiron 5577
172,Acer,Aspire A517-51G
173,HP,ProBook 430
174,Huawei,MateBook X
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon
176,Lenovo,IdeaPad 320-15AST
177,Toshiba,Satellite Pro
178,HP,ProBook 470
179,Dell,Inspiron 3567
180,Acer,Aspire A315-51
181,MSI,GT80S 6QF-074US
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB
183,HP,Spectre x360
184,Dell,Inspiron 5570
185,Dell,XPS 13
186,Lenovo,Yoga 920-13IKB
187,Toshiba,Satellite Pro
188,Xiaomi,Mi Notebook
189,Dell,Inspiron 7773
190,Dell,XPS 15
191,Lenovo,Legion Y520-15IKBN
192,Acer,Swift 7
193,Dell,Inspiron 5770
194,Lenovo,Thinkpad Yoga
195,Vero,K147 (N3350/4GB/32GB/FHD/W10)
196,Xiaomi,Mi Notebook
197,Lenovo,IdeaPad 320-17IKBR
198,Dell,Inspiron 5379
199,HP,ProBook 470
200,Razer,Blade Pro
201,HP,ProBook 430
202,HP,Omen 17-W295
203,HP,Probook 470
204,Dell,Inspiron 7577
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10)
206,Acer,Aspire E5-576G
207,Lenovo,Legion Y720-15IKB
208,Dell,Precision 7520
209,Lenovo,Legion Y520-15IKBN
210,Dell,Inspiron 3567
211,Dell,XPS 13
212,Dell,XPS 13
213,Lenovo,IdeaPad 320-15IKBN
215,Acer,Aspire 7
216,Asus,ROG GL703VD-GC028T
217,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No
218,Lenovo,IdeaPad 320-15IKBN
219,Huawei,MateBook X
220,Dell,Inspiron 5370
221,Lenovo,IdeaPad 320-17IKB
222,HP,Probook 440
223,Dell,Latitude 5490
224,Dell,Inspiron 5379
225,Dell,Inspiron 3576
226,Lenovo,Yoga 520-14IKB
227,Toshiba,Portege Z30-C-16L
228,HP,ProBook 450
229,Dell,Alienware 17
230,Acer,Aspire E5-576G
231,Dell,Inspiron 5567
232,Asus,Vivobook X541UV-DM1217T
233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB
234,HP,ZBook 15u
235,Asus,Pro P2540UA-XO0198T
236,HP,15-rb013nv (E2-9000e/4GB/500GB/W10)
237,Lenovo,Legion Y720-15IKB
238,Dell,Vostro 5468
239,Acer,Aspire R7
240,Dell,Inspiron 5567
241,Acer,Aspire A315-51
242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB
243,Asus,ROG G703VI-E5062T
244,Acer,Nitro AN515-51
245,Lenovo,IdeaPad 320-15ISK
246,Asus,VivoBook Pro
247,Asus,F756UX-T4201D (i7-7500U/8GB/128GB
248,Dell,Inspiron 5577
249,Lenovo,Yoga 910-13IKB
250,Dell,Inspiron 5570
251,HP,15-bs015dx (i5-7200U/8GB/1TB/W10)
252,Asus,Rog G701VIK-BA060T
253,HP,ProBook 430
254,Apple,MacBook Pro
255,Dell,Inspiron 5579
256,Asus,ROG G752VSK-GC493T
257,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon
258,Lenovo,Yoga 920-13IKB
259,Acer,Aspire 5
260,Dell,Vostro 5370
261,HP,15-BW094nd (A6-9220/8GB/128GB/W10)
262,HP,Envy 17-U275cl
263,MSI,GT73EVR 7RE
264,Lenovo,Yoga 720-15IKB
265,Dell,Inspiron 5770
266,Lenovo,IdeaPad 320-15ISK
267,HP,ProBook 450
268,Dell,Vostro 3568
269,Dell,Inspiron 3567
270,Dell,Inspiron 5579
271,Asus,ZenBook Flip
272,Lenovo,IdeaPad 320-15IKBN
273,HP,Probook 470
274,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10)
275,Apple,MacBook Pro
276,Asus,Rog Strix
277,Dell,Inspiron 3576
278,Lenovo,ThinkPad X1
279,Toshiba,Satellite Pro
280,Dell,Inspiron 5567
281,Dell,Inspiron 5770
282,Acer,Aspire A515-51G
283,Lenovo,IdeaPad 320-17ISK
284,Lenovo,IdeaPad 320-17IKBR
285,Lenovo,IdeaPad 320-17IKB
286,Dell,Inspiron 3567
287,Lenovo,Legion Y520-15IKBN
288,Lenovo,Ideapad 320-15IKBN
289,Acer,Aspire A517-51G
290,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10)
291,Lenovo,Thinkpad T570
292,Asus,VivoBook S15
293,Lenovo,Legion Y520-15IKBN
294,Lenovo,IdeaPad 320-15IKB
295,Acer,Chromebook C910-C2ST
296,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce
297,HP,17-BS037cl (i3-6006U/8GB/1TB/W10)
298,Dell,XPS 15
299,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10)
300,Lenovo,Legion Y720-15IKB
301,Acer,Aspire A715-71G
302,Dell,Precision 7720
303,Lenovo,IdeaPad 310-15ABR
304,Asus,ZenBook UX530UQ-PRO
305,Asus,VivoBook S14
306,Asus,Rog GL702VS-GC095T
307,Lenovo,IdeaPad 320-17IKB
308,Lenovo,IdeaPad 320-15IKBN
309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB
310,Lenovo,IdeaPad 320-15IAP
311,HP,EliteBook x360
312,Toshiba,Satellite Pro
313,Lenovo,IdeaPad 320-15IKB
314,HP,250 G6
315,Lenovo,IdeaPad 720S-13IKB
316,Dell,XPS 13
317,MSI,GE63VR 7RF
318,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10)
319,Asus,VivoBook Flip
320,Dell,Inspiron 5570
321,HP,Spectre x360
322,Lenovo,ThinkPad 13
323,HP,ProBook 640
324,Acer,TravelMate B
325,HP,Elitebook 840
326,Lenovo,IdeaPad 320-17IKB
327,Asus,ZenBook UX410UA-GV183T
329,HP,ProBook 450
330,Acer,Aspire 5
331,Lenovo,IdeaPad 120S-14IAP
332,Acer,Aspire E5-575
333,Asus,VivoBook S15
334,HP,Elitebook 820
335,Dell,XPS 15
336,MSI,GL72M 7REX
337,Toshiba,Satellite Pro
338,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB
339,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10)
340,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce
341,HP,EliteBook 840
342,Dell,Inspiron 7570
343,HP,Elitebook 850
344,Asus,X541NA (N3350/4GB/1TB/Linux)
345,Dell,Inspiron 7570
346,Dell,Inspiron 3552
347,Lenovo,IdeaPad 320-15ABR
348,HP,ProBook 450
349,Lenovo,Yoga 920-13IKB
350,Dell,XPS 13
351,Lenovo,Legion Y520-15IKBN
352,HP,Stream 14-AX001nv
353,Dell,Latitude 5590
354,Asus,VivoBook Flip
355,Dell,Inspiron 5570
356,Dell,XPS 15
357,HP,Elitebook 850
358,MSI,GP72MVR 7RFX
359,HP,Zbook 15
360,Toshiba,Tecra A50-C-21G
361,Dell,Inspiron 5570
362,Lenovo,IdeaPad 320-15IAP
363,Dell,Inspiron 7577
364,Dell,Inspiron 3567
365,Dell,Latitude 7480
366,HP,250 G6
367,Asus,Zenbook UX410UA-GV027T
368,Lenovo,IdeaPad 320-17IKB
369,HP,250 G6
370,Lenovo,IdeaPad 320-15ISK
371,HP,15-AY023na (N3710/8GB/2TB/W10)
372,Dell,Inspiron 5770
373,Lenovo,Legion Y520-15IKBN
374,Dell,Inspiron 5567
375,HP,Elitebook 1040
376,Asus,ZenBook Flip
377,Acer,Aspire 3
378,Asus,Rog Strix
379,Lenovo,IdeaPad 110-17ACL
380,Dell,Inspiron 5379
381,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10)
382,Lenovo,Yoga 11e
383,Dell,Inspiron 3552
384,Asus,VivoBook E403NA
385,Acer,Aspire 7
386,HP,Omen 17-w212nv
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No
388,Asus,ROG Strix
389,Lenovo,IdeaPad 720S-14IKB
390,Asus,Zenbook Flip
391,Lenovo,Thinkpad X1
392,Lenovo,Ideapad 510S-13IKB
393,Dell,Precision 3510
394,Dell,Precision 5520
395,Lenovo,ThinkPad X1
396,Asus,Rog GL753VD-GC042T
397,Asus,Rog GL753VE-GC070T
399,Acer,Aspire 5
400,MSI,Leopard GP72M
401,Dell,Inspiron 5567
402,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon
403,Lenovo,ThinkPad E580
404,Lenovo,ThinkPad L470
405,Dell,Precision M5520
406,Lenovo,Thinkpad X1
407,Lenovo,IdeaPad 320-15IAP
408,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB
409,Lenovo,ThinkPad E580
410,Acer,Aspire 7
411,MSI,GE73VR 7RF
412,Asus,Zenbook 3
413,Toshiba,Portege Z30-C-16P
414,Dell,Latitude 7480
415,Lenovo,IdeaPad 320-15ISK
416,Lenovo,Lenovo IdeaPad
417,Lenovo,ThinkPad P51
418,Lenovo,Thinkpad T470p
419,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon
420,Acer,Aspire R7
421,Asus,ZenBook Flip
422,Dell,Inspiron 3567
423,Dell,Latitude 3380
424,HP,EliteBook 1040
425,Dell,Inspiron 3567
426,Lenovo,ThinkPad E480
427,Lenovo,Yoga 720-15IKB
428,Chuwi,LapBook 12.3
429,HP,ProBook 650
430,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce
431,Dell,Alienware 17
432,Dell,Inspiron 7577
433,Dell,Inspiron 5570
434,Dell,Latitude 5480
435,HP,Omen 17-w207nv
436,Mediacom,FlexBook Edge
437,Samsung,Chromebook 3
438,Lenovo,Thinkpad 13
439,Lenovo,IdeaPad 320s-14IKB
440,Lenovo,Thinkpad T570
441,Lenovo,Thinkpad P51
442,Asus,Rog Strix
443,HP,15-ra044nv (N3060/4GB/500GB/W10)
444,Google,Pixelbook (Core
445,Lenovo,ThinkPad T470s
446,Asus,VivoBook Max
447,Lenovo,IdeaPad 320-15AST
448,Dell,Inspiron 5570
449,Lenovo,ThinkPad X270
450,Lenovo,IdeaPad 320-15IAP
451,HP,Omen 15-AX205na
452,Dell,Latitude 5480
453,Acer,Aspire ES1-572
454,Dell,Precision 3520
455,MSI,GV62 7RD-1686NL
456,Microsoft,Surface Laptop
457,HP,15-bs024nv (i5-7200U/8GB/128GB/W10)
458,Dell,Precision 3520
459,HP,ProBook 650
460,Lenovo,ThinkPad T470
461,Dell,Inspiron 5570
462,Dell,Inspiron 3168
463,Dell,Alienware 17
464,Microsoft,Surface Laptop
465,Microsoft,Surface Laptop
466,HP,17-BS092ND (i3-6006U/8GB/256GB/W10)
467,Acer,Aspire E5-576G
468,Acer,TravelMate B
469,Asus,Pro P2540UA-AB51
470,Lenovo,IdeaPad 510s-14IKB
471,Lenovo,Thinkpad P51
472,Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10)
473,Acer,Aspire 5
474,Dell,Inspiron 5570
475,HP,Omen 17-an006nv
476,Lenovo,Thinkpad T460s
477,HP,Spectre x360
478,HP,ZBook 15u
479,Google,Pixelbook (Core
480,Dell,Latitude 7390
481,Asus,ZenBook Pro
482,Dell,Latitude E5470
483,Dell,Precision M5520
484,Lenovo,Thinkpad T470
485,Dell,Inspiron 3576
486,Toshiba,Portege X30-D-10J
487,Dell,Inspiron 7570
488,Dell,Vostro 3568
489,HP,ProBook 430
490,Chuwi,"Lapbook 15,6"
491,Lenovo,ThinkPad E570
492,Lenovo,ThinkPad E480
493,Dell,Precision 3520
494,Dell,XPS 15
495,Lenovo,Thinkpad X270
496,Asus,Zenbook UX390UA
497,Lenovo,Thinkpad E570
498,Toshiba,Portege X30-D-10L
499,Asus,VivoBook Pro
500,Acer,Aspire 5
501,Asus,Rog G752VL-UH71T
502,Lenovo,Thinkpad X260
503,Lenovo,Ideapad 520-15IKBR
504,HP,EliteBook 840
505,Lenovo,ThinkPad 13
506,Lenovo,ThinkPad L570
507,Asus,VivoBook E201NA
508,HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon
509,Lenovo,Yoga 920-13IKB
510,Lenovo,IdeaPad 320-14IAP
511,Lenovo,Chromebook N23
512,Lenovo,ThinkPad 13
513,Asus,ZenBook UX510UX-CN211T
514,Acer,Aspire A515-51G-59QF
515,HP,Envy 13-AB002nv
516,Lenovo,Legion Y520-15IKBN
517,Dell,XPS 13
518,Acer,Aspire A515-51G
519,Dell,Vostro 5568
520,Dell,Inspiron 5570
521,Xiaomi,Mi Notebook
522,Asus,VivoBook E12
523,HP,15-bs190od (i5-8250U/4GB/1TB/W10)
524,Asus,ROG Zephyrus
525,HP,Probook 450
526,Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB
527,Lenovo,Legion Y720-15IKB
528,HP,Spectre X360
529,Dell,Latitude 5480
530,HP,ProBook 440
531,Dell,Inspiron 5770
532,Lenovo,ThinkPad L470
533,Lenovo,IdeaPad 320-15IKB
534,Lenovo,IdeaPad 320-15ISK
535,Dell,Inspiron 3567
536,Dell,Latitude 5580
537,Dell,Alienware 17
538,Toshiba,Satellite Pro
539,Asus,Zenbook UX510UW-FI095T
540,Mediacom,SmartBook Edge
541,Asus,ROG Strix
542,Dell,Latitude 5580
543,Dell,Inspiron 5570
544,HP,250 G6
545,HP,Omen 15-ce006nv
546,Lenovo,Thinkpad E470
547,Dell,XPS 13
548,Dell,Vostro 5468
549,HP,Envy 13-AB020nr
550,Acer,Aspire 7
551,Asus,VivoBook X540YA-XX519T
552,HP,ProBook 450
553,Lenovo,ThinkPad E470
554,Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No
555,HP,250 G6
556,Lenovo,ThinkPad T570
557,Lenovo,IdeaPad 320-15ISK
558,Dell,Latitude 5580
559,Dell,Alienware 17
560,HP,17-X047na (i3-6006U/8GB/1TB/W10)
561,HP,ProBook 470
562,Asus,A541NA-GO342 (N3350/4GB/500GB/Linux)
563,Mediacom,SmartBook 130
564,Lenovo,IdeaPad 320-17IKB
565,HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon
566,Dell,Vostro 3568
567,Acer,Spin SP111-31
568,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10)
569,HP,EliteBook 1030
570,Lenovo,Thinkpad P71
571,Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB
572,Dell,XPS 13
573,Dell,Latitude 5580
574,Fujitsu,Lifebook A557
575,Lenovo,IdeaPad 320-15IAP
576,Lenovo,ThinkPad L470
577,HP,ZBook 17
578,HP,14-am079na (N3710/8GB/2TB/W10)
579,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon
580,Lenovo,Thinkpad E570
581,Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10)
582,Mediacom,SmartBook 141
583,Toshiba,Tecra X40-D-10H
584,Lenovo,IdeaPad Y910-17ISK
585,MSI,GT73VR Titan
586,Dell,Inspiron 3567
587,Mediacom,SmartBook Edge
588,Dell,Latitude 5580
589,HP,ProBook 430
590,Dell,Latitude 5580
591,Dell,Chromebook 11
592,MSI,GT80S 6QE
593,HP,Omen 17-AN010nv
594,Lenovo,Thinkpad T460s
595,Lenovo,Ideapad 320-15IKBR
596,Asus,ROG Strix
597,Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10)
598,Lenovo,IdeaPad 320-15ABR
599,Dell,Inspiron 3179
600,Samsung,Notebook Odyssey
601,Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No
602,Lenovo,IdeaPad 110-15ISK
603,Lenovo,ThinkPad Yoga
604,Lenovo,Thinkpad T470p
605,Dell,Latitude 5289
606,Dell,Precision 3520
607,HP,EliteBook 850
608,HP,ProBook 450
609,Acer,Aspire 1
610,MSI,Laptop MSI
611,Dell,Vostro 3568
612,MSI,GS63VR 7RF
613,Toshiba,Tecra Z50-C-144
614,Lenovo,IdeaPad 310-15IKB
615,Lenovo,Yoga 720-15IKB
616,Acer,Swift SF114-31-P5HY
617,Lenovo,Thinkpad P51
618,Dell,Inspiron 7559
619,Dell,Vostro 3568
620,Dell,Inspiron 3567
621,Dell,Latitude 5580
622,Asus,FX753VD-GC007T (i7-7700HQ/8GB/1TB
623,Dell,Vostro 3568
624,HP,EliteBook 850
625,MSI,GT62VR 7RE
626,Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome
627,HP,ProBook 650
628,Lenovo,ThinkPad T470
629,Dell,Inspiron 5570
630,Fujitsu,LifeBook A557
631,HP,EliteBook 850
632,Lenovo,IdeaPad 320-15IKB
633,Mediacom,SmartBook 140
634,Lenovo,IdeaPad 320-15IKBN
635,Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10)
636,Dell,XPS 15
637,Asus,ZenBook 3
639,Dell,Inspiron 7567
640,Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10)
641,Lenovo,Ideapad 320-15ISK
642,Asus,X541NA-GO414T (N3350/8GB/1TB/W10)
643,Asus,VivoBook Pro
644,Dell,XPS 13
645,Lenovo,IdeaPad 100S-14IBR
646,Lenovo,Thinkpad Yoga
647,Dell,XPS 15
648,Lenovo,Legion Y520-15IKBN
649,HP,17-AK091ND (A9-9420/8GB/1TB/W10)
650,Lenovo,ThinkPad X1
651,Asus,ROG GL553VE-FY022
652,Acer,Extensa EX2540
653,Lenovo,IdeaPad 100S-14IBR
654,Acer,Swift 3
655,Razer,Blade Pro
656,Toshiba,Portege Z30-C-16J
657,Lenovo,Thinkpad X270
658,Asus,ROG G701VI
659,Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce
